sample_id,video_id,clip_id,duration,label,annotation,text_valid_bins,audio_valid_bins,vision_valid_bins,text_feature_source,timestamp_fallback_count
-3g5yACwYnA__13,-3g5yACwYnA,13,5.513997,0.6666666865348816,Positive,33,49,50,official_transcript,0
-3g5yACwYnA__2,-3g5yACwYnA,2,9.39401,0.0,Neutral,28,50,50,official_transcript,0
-3g5yACwYnA__3,-3g5yACwYnA,3,14.388997,0.0,Neutral,43,50,50,official_transcript,0
-3g5yACwYnA__9,-3g5yACwYnA,9,8.816992,0.6666666865348816,Positive,43,50,50,official_transcript,0
-3nNcZdcdvU__5,-3nNcZdcdvU,5,7.867969,0.0,Neutral,37,50,50,official_transcript,0
-571d8cVauQ__0,-571d8cVauQ,0,5.166666333333334,0.0,Neutral,34,49,50,official_transcript,0
-571d8cVauQ__5,-571d8cVauQ,5,15.272982,0.3333333432674408,Positive,47,50,50,official_transcript,0
-6rXp3zJ3kc__8,-6rXp3zJ3kc,8,12.805013,-1.0,Negative,44,50,50,official_transcript,0
-9y-fZ3swSY__0,-9y-fZ3swSY,0,6.900000333333333,1.0,Positive,41,49,50,official_transcript,0
-9y-fZ3swSY__4,-9y-fZ3swSY,4,2.821029,0.0,Neutral,44,47,50,official_transcript,0
-9y-fZ3swSY__8,-9y-fZ3swSY,8,4.988997,1.6666666269302368,Positive,41,50,50,official_transcript,0
-AUZQgSxyPQ__2,-AUZQgSxyPQ,2,22.511003,0.6666666865348816,Positive,45,50,50,official_transcript,0
-HeZS2-Prhc__2,-HeZS2-Prhc,2,8.261979,0.6666666865348816,Positive,40,50,50,official_transcript,0
-HwX2H8Z4hY__2,-HwX2H8Z4hY,2,3.982031,0.0,Neutral,26,50,50,media_asr,0
-HwX2H8Z4hY__5,-HwX2H8Z4hY,5,5.652995,-1.0,Negative,44,49,50,official_transcript,0
-HwX2H8Z4hY__6,-HwX2H8Z4hY,6,3.358008,0.0,Neutral,38,49,50,official_transcript,0
-HwX2H8Z4hY__9,-HwX2H8Z4hY,9,7.733984,-0.3333333432674408,Negative,46,50,50,official_transcript,0
-I_e4mIh0yE__1,-I_e4mIh0yE,1,7.622005,-0.6666666865348816,Negative,44,49,50,official_transcript,0
-I_e4mIh0yE__3,-I_e4mIh0yE,3,9.163021,0.6666666865348816,Positive,46,50,50,official_transcript,0
-MeTTeMJBNc__0,-MeTTeMJBNc,0,9.333333333333334,0.3333333432674408,Positive,42,50,50,official_transcript,0
-MeTTeMJBNc__13,-MeTTeMJBNc,13,5.430013,0.3333333432674408,Positive,39,49,50,official_transcript,0
-MeTTeMJBNc__7,-MeTTeMJBNc,7,10.516992,1.3333333730697632,Positive,45,50,50,official_transcript,0
-NFrJFQijFE__1,-NFrJFQijFE,1,5.746,0.3333333432674408,Positive,13,50,50,media_asr,5
-NFrJFQijFE__2,-NFrJFQijFE,2,6.856,0.0,Neutral,25,49,50,media_asr,0
-RfYyzHpjk4__11,-RfYyzHpjk4,11,5.238997,2.0,Positive,43,49,50,official_transcript,0
-RfYyzHpjk4__2,-RfYyzHpjk4,2,5.516016,0.3333333432674408,Positive,42,49,50,official_transcript,1
-RfYyzHpjk4__8,-RfYyzHpjk4,8,4.588997,0.3333333432674408,Positive,37,50,50,official_transcript,0
-THoVjtIkeU__12,-THoVjtIkeU,12,14.896029,2.0,Positive,40,50,50,official_transcript,0
-THoVjtIkeU__2,-THoVjtIkeU,2,4.291992,1.3333333730697632,Positive,43,50,50,official_transcript,0
-THoVjtIkeU__6,-THoVjtIkeU,6,8.097005,2.6666667461395264,Positive,45,50,50,official_transcript,0
