record_type,seed,id,true_label,misa_prediction,misa_abs_error,comparator,comparator_prediction,comparator_abs_error,error_difference,model,target_bin,n,target_min_observed,target_max_observed,mae,rmse,bias
MISA_worse_than_MulT_top20,42,0utROiKxejc$_$4,0.0,-3.37370228767395,3.37370228767395,MulT,-0.47197583317756653,0.47197583317756653,2.9017264544963837,,,,,,,,
MISA_worse_than_MulT_top20,42,130456$_$11,1.6666666269302368,-3.3172523975372314,4.983919024467468,MulT,-0.5022852420806885,2.1689518690109253,2.814967155456543,,,,,,,,
MISA_worse_than_MulT_top20,42,252998$_$7,1.3333333730697632,-2.6469509601593018,3.980284333229065,MulT,0.012333743274211884,1.3209996297955513,2.6592847034335136,,,,,,,,
MISA_worse_than_MulT_top20,42,uooIiW6dEyg$_$1,-0.3333333432674408,-2.9282214641571045,2.5948881208896637,MulT,-0.367395281791687,0.034061938524246216,2.5608261823654175,,,,,,,,
MISA_worse_than_MulT_top20,42,80855$_$17,0.0,-2.909374475479126,2.909374475479126,MulT,-0.41114091873168945,0.41114091873168945,2.4982335567474365,,,,,,,,
MISA_worse_than_MulT_top20,42,99501$_$5,-0.3333333432674408,-2.894038438796997,2.5607050955295563,MulT,-0.2262694239616394,0.10706391930580139,2.453641176223755,,,,,,,,
MISA_worse_than_MulT_top20,42,MjaaudUc5-4$_$1,0.0,-2.8227667808532715,2.8227667808532715,MulT,-0.4768563210964203,0.4768563210964203,2.345910459756851,,,,,,,,
MISA_worse_than_MulT_top20,42,266791$_$11,1.0,-1.9352713823318481,2.935271382331848,MulT,0.3260107636451721,0.6739892363548279,2.2612821459770203,,,,,,,,
MISA_worse_than_MulT_top20,42,32681$_$5,0.3333333432674408,-3.542422294616699,3.87575563788414,MulT,-1.3019006252288818,1.6352339684963226,2.2405216693878174,,,,,,,,
MISA_worse_than_MulT_top20,42,257247$_$10,-0.3333333432674408,-3.3564293384552,3.0230959951877594,MulT,-1.1411484479904175,0.8078151047229767,2.2152808904647827,,,,,,,,
MISA_worse_than_MulT_top20,42,5kaCGzjYukM$_$2,-0.3333333432674408,-2.667707681655884,2.334374338388443,MulT,-0.46684983372688293,0.13351649045944214,2.200857847929001,,,,,,,,
MISA_worse_than_MulT_top20,42,128059$_$11,-1.0,-3.5424604415893555,2.5424604415893555,MulT,-1.3522427082061768,0.35224270820617676,2.1902177333831787,,,,,,,,
MISA_worse_than_MulT_top20,42,270254$_$8,-1.3333333730697632,-3.569972515106201,2.236639142036438,MulT,-1.1222201585769653,0.21111321449279785,2.02552592754364,,,,,,,,
MISA_worse_than_MulT_top20,42,_gzYkdjNvPc$_$17,-1.3333333730697632,-3.4553353786468506,2.1220020055770874,MulT,-1.46682870388031,0.13349533081054688,1.9885066747665405,,,,,,,,
MISA_worse_than_MulT_top20,42,ZaoFHcbRM9g$_$8,-1.0,-3.1880524158477783,2.1880524158477783,MulT,-1.2046712636947632,0.20467126369476318,1.9833811521530151,,,,,,,,
